"국가별",1990,2000,2010,2020
"세계",3.438576015,2.776534174,2.584241968,2.468109072
"아시아",,,,
"한국",1.567,1.5005,1.173,1.11
"아프가니스탄",7.4689,7.6537,6.4784,4.5552
"아르메니아",2.6,1.75,1.72,1.7559
"아제르바이잔",3.2,2.25,1.83,2.0835
"바레인",4.08,2.95,2.25,1.9982
"방글라데시",4.9834,3.4318,2.4821,2.052
"부탄",5.9,4,2.55,2
"브루나이",3.4679,2.5076,1.8844,1.8482
"캄보디아",5.9896,4.25,3.0813,2.5238
"중국",2.73,1.62,1.62,1.69
"키프로스",2.428,1.8891,1.48,1.3375
"동티모르",5.4,5.8,5.3,4.1
"조지아",2.263,1.72,1.8,2.0615
"홍콩",1.3562,1.06,1.0362,1.3262
"인도",4.2656,3.4829,2.7961,2.2402
"인도네시아",3.4,2.55,2.5,2.3195
"이란",5.62,2.4,1.8209,2.15
"이라크",6.0895,5.1882,4.3994,3.682
"이스라엘",3.0701,2.9325,2.927,3.044
"일본",1.65,1.369,1.3388,1.3697
"요르단",6.0232,4.304,3.8,2.7723
"카자흐스탄",3.033,2,2.5406,2.7638
"북한",2.358,2.01,1.95,1.91
"쿠웨이트",3.65,3,2.4,2.1
"키르기즈스탄",4.0584,2.9582,2.78,3
"라오스",6.2668,4.8064,3.4,2.7
"레바논",3.5,2.65,1.9,2.09
"마카오",2,1.116,0.98,1.2
"말레이시아",3.6666,3.1251,2.216,2.0105
"몰디브",6.6645,3.3929,2.2881,1.88
"몽골",4.8407,2.3957,2.3965,2.9023
"미얀마",3.78,2.95,2.5,2.17
"네팔",5.3293,4.4066,2.8134,1.934
"오만",7.8479,4.464,2.9,2.93
"파키스탄",6.2967,5.374,4.1681,3.55
"필리핀",4.5271,3.9,3.3,2.58
"카타르",4.4,3.46,2.23,1.8805
"사우디아라비아",6.217,4.4,3.225,2.34
"싱가포르",1.6974,1.5705,1.2571,1.209
"스리랑카",2.644,2.2431,2.279,2.2102
"시리아",5.873,4.3,3.7,2.8398
"대만",1.7675,1.6675,1.0508,1.15
"타지키스탄",5.5,4.29,3.6086,3.6075
"태국",2.3,1.7668,1.5563,1.5346
"터키",3.3874,2.6477,2.2018,2.08
"투르크메니스탄",4.55,3.03,2.65,2.785
"아랍에미리트",4.9,2.97,1.97,1.42
"우즈베키스탄",4.4001,3.1,2.49,2.43
"베트남",3.8497,2.2493,1.9279,2.0556
"예멘",8.8,6.8,5,3.8372
"북아메리카",,,,
"캐나다",1.616,1.562,1.636,1.525
"멕시코",3.75,2.85,2.4,2.14
