,Country Name,Country Code,1990,2000,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Afghanistan,AFG,7.466,7.485,5.977,5.77,5.562,5.359,5.163,4.976,4.8,4.633,4.473,..
1,Albania,ALB,2.978,2.157,1.66,1.673,1.684,1.69,1.688,1.677,1.659,1.638,1.617,..
2,Algeria,DZA,4.726,2.514,2.86,2.909,2.952,2.99,3.022,3.043,3.052,3.045,3.023,..
3,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
4,Andorra,AND,..,..,1.27,..,..,..,..,..,..,..,..,..
5,Angola,AGO,7.272,6.639,6.194,6.12,6.039,5.953,5.864,5.774,5.686,5.6,5.519,..
6,Antigua and Barbuda,ATG,2.067,2.2,1.988,1.989,1.993,1.998,2.001,2.003,2.003,1.999,1.994,..
7,Argentina,ARG,2.997,2.542,2.346,2.338,2.33,2.322,2.312,2.301,2.288,2.275,2.261,..
8,Armenia,ARM,2.544,1.648,1.722,1.724,1.725,1.728,1.732,1.738,1.744,1.75,1.755,..
9,Aruba,ABW,2.249,1.872,1.768,1.779,1.795,1.813,1.834,1.854,1.872,1.886,1.896,..
10,Australia,AUS,1.902,1.756,1.928,1.926,1.92,1.855,1.826,1.814,1.752,1.741,1.74,..
11,Austria,AUT,1.46,1.36,1.44,1.43,1.44,1.44,1.46,1.49,1.53,1.52,1.47,..
12,Azerbaijan,AZE,2.74,2,1.92,1.96,2,1.98,1.97,1.94,1.9,1.75,1.73,..
13,"Bahamas, The",BHS,2.64,2.073,1.865,1.847,1.828,1.81,1.794,1.782,1.771,1.762,1.752,..
14,Bahrain,BHR,3.732,2.795,2.164,2.139,2.118,2.098,2.078,2.056,2.033,2.01,1.987,..
15,Bangladesh,BGD,4.495,3.169,2.324,2.273,2.228,2.188,2.152,2.12,2.09,2.062,2.036,..
16,Barbados,BRB,1.74,1.775,1.687,1.665,1.645,1.63,1.62,1.614,1.613,1.615,1.619,..
17,Belarus,BLR,1.913,1.317,1.494,1.515,1.62,1.668,1.696,1.724,1.733,1.541,1.448,..
18,Belgium,BEL,1.62,1.67,1.86,1.81,1.8,1.76,1.74,1.7,1.68,1.65,1.62,..
19,Belize,BLZ,4.508,3.601,2.69,2.638,2.588,2.539,2.489,2.439,2.391,2.346,2.307,..
20,Benin,BEN,6.744,5.962,5.362,5.305,5.246,5.183,5.116,5.047,4.977,4.906,4.836,..
21,Bermuda,BMU,..,1.74,1.76,1.59,1.59,1.63,1.63,1.62,1.61,1.6,1.6,..
22,Bhutan,BTN,5.493,3.515,2.301,2.224,2.159,2.107,2.067,2.037,2.014,1.994,1.975,..
23,Bolivia,BOL,4.89,4.051,3.213,3.143,3.076,3.01,2.947,2.886,2.829,2.777,2.73,..
24,Bosnia and Herzegovina,BIH,1.772,1.497,1.315,1.315,1.313,1.309,1.303,1.296,1.286,1.276,1.265,..
25,Botswana,BWA,4.485,3.304,3.022,3.017,3.011,3.002,2.988,2.968,2.942,2.91,2.874,..
26,Brazil,BRA,2.902,2.3,1.796,1.781,1.771,1.764,1.758,1.753,1.747,1.739,1.73,..
27,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
28,Brunei Darussalam,BRN,3.29,2.346,1.937,1.957,1.973,1.978,1.969,1.947,1.915,1.881,1.848,..
29,Bulgaria,BGR,1.82,1.26,1.57,1.51,1.5,1.48,1.53,1.53,1.54,1.56,1.56,..
30,Burkina Faso,BFA,7.007,6.592,5.867,5.781,5.693,5.606,5.521,5.436,5.353,5.271,5.189,..
